Ortholog_Group_ID,Dananassae_Gene,Dananassae_Chromosome,Dananassae_Start,Dananassae_Strand,Dsimulans_Gene,Dsimulans_Chromosome,Dsimulans_Start,Dsimulans_Strand,Dyakuba_Gene,Dyakuba_Chromosome,Dyakuba_Start,Dyakuba_Strand,Dsuzukii_Gene,Dsuzukii_Chromosome,Dsuzukii_Start,Dsuzukii_Strand,Dmiranda_Gene,Dmiranda_Chromosome,Dmiranda_Start,Dmiranda_Strand,Dmauritiana_Gene,Dmauritiana_Chromosome,Dmauritiana_Start,Dmauritiana_Strand,Dsechellia_Gene,Dsechellia_Chromosome,Dsechellia_Start,Dsechellia_Strand,Dsantomea_Gene,Dsantomea_Chromosome,Dsantomea_Start,Dsantomea_Strand,Dmelanogaster_Gene,Dmelanogaster_Chromosome,Dmelanogaster_Start,Dmelanogaster_Strand
15865at7215,LOC6500137,NC_057927.1,2315538,-,LOC6727403,NC_052523.2,6369861,+,LOC6535739,NC_052530.2,6354836,-,LOC108015969,NW_023496816.1,1259687,+,LOC108155891,NC_046675.1,28653450,+,LOC117142246,NC_046670.1,7127023,+,LOC6619026,NC_045952.1,8735388,+,LOC120451603,NC_053019.2,4590674,-,ninaE,NT_033777.3,19886255,-
16934at7215,LOC6500132,NC_057927.1,2345849,-,LOC6727396,NC_052523.2,6340013,+,LOC6535746,NC_052530.2,6384260,-,LOC108015568,NW_023496816.1,1227560,+,LOC108154391,NC_046675.1,30348633,+,LOC117144131,NC_046670.1,7097636,+,LOC6619018,NC_045952.1,8706097,+,LOC120452190,NC_053019.2,4620450,-,Dmel\CG4465,NT_033777.3,19915868,-
18617at7215,LOC6500648,NC_057927.1,6639715,+,LOC6727532,NC_052523.2,7498641,+,LOC6535607,NC_052530.2,5194787,-,LOC108014888,NW_023496816.1,2498389,+,LOC108156360,NC_046675.1,11042602,+,LOC117144910,NC_046670.1,8238968,+,LOC6613722,NC_045952.1,9882373,+,LOC120453184,NC_053019.2,3442765,-,PGS1,NT_033777.3,18744063,-
18635at7215,LOC6505657,NC_057927.1,27100566,+,LOC6727509,NC_052523.2,7257880,+,LOC6535630,NC_052530.2,5437393,-,LOC108020112,NW_023496816.1,2233162,+,LOC108156401,NC_046675.1,15662398,-,LOC117143299,NC_046670.1,8004672,+,LOC6620701,NC_045952.1,9637420,+,LOC120451827,NC_053019.2,3685543,-,Smu1,NT_033777.3,18978980,-
18948at7215,LOC6501230,NC_057927.1,15040089,+,LOC6727437,NC_052523.2,6616233,+,LOC6535706,NC_052530.2,6087019,-,LOC108014201,NW_023496816.1,1519566,+,LOC108156207,NC_046675.1,32523590,-,LOC117142724,NC_046670.1,7368762,+,LOC6619057,NC_045952.1,8998847,+,LOC120452497,NC_053019.2,4330848,-,Dmel\CG6231,NT_033777.3,19616024,-
19564at7215,LOC6499910,NC_057927.1,6687734,-,LOC6727536,NC_052523.2,7552255,-,LOC6535600,NC_052530.2,5143873,+,LOC108014884,NW_023496816.1,2552934,-,LOC108154527,NC_046675.1,11090062,-,LOC117144175,NC_046670.1,8288174,-,LOC6613728,NC_045952.1,9932146,-,LOC120453634,NC_053019.2,3393238,+,CG7710,NT_033777.3,18695252,+
1968at7215,LOC6501287,NC_057927.1,15921366,+,LOC6727235,NC_052523.2,5123563,+,LOC6535894,NC_052530.2,7629534,-,LOC108014406,NW_023496816.1,3202162,-,LOC108155681,NC_046675.1,21397167,+,LOC117143062,NC_046670.1,5898556,+,LOC6620053,NC_045952.1,7483131,+,LOC120450775,NC_053019.2,5838718,-,slmb,NT_033777.3,21119252,-
20783at7215,LOC6505861,NC_057927.1,27184551,-,LOC6727523,NC_052523.2,7339196,-,LOC6535616,NC_052530.2,5352786,+,LOC108020109,NW_023496816.1,2324585,-,LOC108157177,NC_046675.1,15573701,+,LOC117143510,NC_046670.1,8085914,-,LOC6613713,NC_045952.1,9726763,-,LOC120453500,NC_053019.2,3599336,+,Dmel\CG14297,NT_033777.3,18898121,+
21206at7215,LOC6500412,NC_057927.1,2348195,+,LOC6727395,NC_052523.2,6337269,-,LOC6535747,NC_052530.2,6386515,+,LOC108015581,NW_023496816.1,1224578,-,LOC108157202,NC_046675.1,30345674,-,LOC117144985,NC_046670.1,7094928,-,LOC6619017,NC_045952.1,8703405,-,LOC120452204,NC_053019.2,4623056,+,Dmel\CG4770,NT_033777.3,19918507,+
21222at7215,LOC6501300,NC_057927.1,16007463,+,LOC6727253,NC_052523.2,5209809,+,LOC6535880,NC_052530.2,7530144,-,LOC108018365,NW_023496816.1,3089124,-,LOC108157515,NC_046675.1,32876640,+,LOC117142733,NC_046670.1,5984769,+,LOC6620074,NC_045952.1,7570175,+,LOC120452036,NC_053019.2,5738499,-,Dhc93AB,NT_033777.3,21024580,-
21911at7215,LOC6501248,NC_057927.1,15473815,+,LOC6727480,NC_052523.2,7058449,+,LOC6535657,NC_052530.2,5636056,-,LOC108013822,NW_023496816.1,2016141,+,LOC108156994,NC_046675.1,32016446,-,LOC117143051,NC_046670.1,7807899,+,LOC6619099,NC_045952.1,9434730,+,LOC120452069,NC_053019.2,3883566,-,Dmel\CG5555,NT_033777.3,19178085,-
21960at7215,LOC6500131,NC_057927.1,2351097,-,LOC6727394,NC_052523.2,6332869,+,LOC6535748,NC_052530.2,6390476,-,LOC108015575,NW_023496816.1,1220014,+,LOC108157200,NC_046675.1,30341635,+,LOC117144984,NC_046670.1,7090232,+,LOC6619015,NC_045952.1,8698601,+,LOC120453547,NC_053019.2,4626678,-,Dmel\CG4462,NT_033777.3,19921744,-
22841at7215,LOC6501241,NC_057927.1,15333694,+,LOC6727467,NC_052523.2,6918073,+,LOC6535676,NC_052530.2,5765484,-,LOC108010757,NW_023496816.1,1857769,+,LOC108156309,NC_046675.1,32154264,-,LOC117142429,NC_046670.1,7667600,+,LOC6619086,NC_045952.1,9295700,+,LOC120451361,NC_053019.2,4012942,-,Dl,NT_033777.3,19302731,-
23530at7215,LOC6500046,NC_057927.1,3790607,-,LOC6727212,NC_052523.2,4980267,+,LOC6535918,NC_052530.2,7776756,-,LOC108014418,NW_023496816.1,3365736,-,LOC108156085,NC_046675.1,5824616,-,LOC117142600,NC_046670.1,5754465,+,LOC6620026,NC_045952.1,7342264,+,LOC120450970,NC_053019.2,5987763,-,Dmel\CG3308,NT_033777.3,21271078,-
25838at7215,LOC6500729,NC_057927.1,7666581,+,LOC6728375,NC_052523.2,13744783,-,LOC6536804,NC_052530.2,14310210,+,LOC108018407,NW_023496816.1,2974353,-,LOC108157249,NC_046675.1,5637292,+,LOC117145136,NC_046670.1,14505553,-,LOC6606682,NC_045952.1,16139078,-,LOC120451407,NC_053019.2,12504099,+,GstD11,NT_033777.3,12383336,+
26085at7215,LOC6499343,NC_057927.1,15271369,-,LOC6727458,NC_052523.2,6849610,-,LOC6535684,NC_052530.2,5858424,+,LOC108017569,NW_023496816.1,1784056,-,LOC108155313,NC_046675.1,32246332,+,LOC117142553,NC_046670.1,7601881,-,LOC6619078,NC_045952.1,9230162,-,LOC120454335,NC_053019.2,4100905,+,Dmel\CG18493,NT_033777.3,19390270,+
26569at7215,LOC6501704,NC_057927.1,23602415,+,LOC6727483,NC_052523.2,7076635,+,LOC6535654,NC_052530.2,5617377,-,LOC108013832,NW_023496816.1,2036810,+,LOC108156238,NC_046675.1,7301978,-,LOC117142392,NC_046670.1,7825969,+,LOC116800176,NC_045952.1,9452444,+,LOC120454601,NC_053019.2,3864614,-,Nsun5,NT_033777.3,19160099,-
27508at7215,LOC6500404,NC_057927.1,2278246,+,LOC6727412,NC_052523.2,6403375,-,LOC6535729,NC_052530.2,6307001,+,LOC108015591,NW_023496816.1,1296263,-,LOC108156611,NC_046675.1,32777645,+,LOC117142461,NC_046670.1,7161198,-,LOC6619035,NC_045952.1,8777828,-,LOC120450862,NC_053019.2,4551281,+,MICU3,NT_033777.3,19847311,+
28718at7215,LOC6505715,NC_057927.1,28068835,+,LOC27207966,NC_052523.2,5114494,+,LOC6535898,NC_052530.2,7643325,-,LOC108018412,NW_023496816.1,3216505,-,LOC108155453,NC_046675.1,31653184,-,LOC117144328,NC_046670.1,5892135,+,LOC6620049,NC_045952.1,7476691,+,LOC120450776,NC_053019.2,5852752,-,Trm7-34,NT_033777.3,21132734,-
28879at7215,LOC6500141,NC_057927.1,2278739,-,LOC6727411,NC_052523.2,6396482,+,LOC6535731,NC_052530.2,6313658,-,LOC108015590,NW_023496816.1,1288720,+,LOC108156585,NC_046675.1,32785465,-,LOC117142460,NC_046670.1,7153825,+,LOC6620996,NC_045952.1,8770513,+,LOC120450861,NC_053019.2,4557944,-,Ire1,NT_033777.3,19853908,-
30356at7215,LOC6505860,NC_057927.1,27206273,-,LOC6727524,NC_052523.2,7361146,-,LOC6535614,NC_052530.2,5329859,+,LOC108020115,NW_023496816.1,2350027,-,LOC108154488,NC_046675.1,15552917,+,LOC117143466,NC_046670.1,8108952,-,LOC6613714,NC_045952.1,9748700,-,LOC120453503,NC_053019.2,3576227,+,Dmel\CG14298,NT_033777.3,18875528,+
31077at7215,LOC6499291,NC_057927.1,15941165,-,LOC6727240,NC_052523.2,5146311,-,LOC6535887,NC_052530.2,7610931,+,LOC108018367,NW_023496816.1,3181766,+,LOC108155033,NC_046675.1,21419900,-,LOC117142672,NC_046670.1,5921555,-,LOC6620059,NC_045952.1,7505665,-,LOC120450940,NC_053019.2,5821255,+,Dmel\CG5745,NT_033777.3,21102199,+
31385at7215,LOC6505655,NC_057927.1,27055563,+,LOC6727505,NC_052523.2,7215113,+,LOC6535634,NC_052530.2,5480982,-,LOC108014147,NW_023496816.1,2188155,+,LOC108155568,NC_046675.1,15710404,-,LOC117143105,NC_046670.1,7961904,+,LOC6620516,NC_045952.1,9594698,+,LOC120451830,NC_053019.2,3729205,-,Dmel\CG6005,NT_033777.3,19022458,-
33835at7215,LOC26514686,NC_057927.1,15037146,-,LOC27208462,NC_052523.2,6612667,-,LOC26536407,NC_052530.2,6105378,+,LOC108014200,NW_023496816.1,1516207,-,LOC108156209,NC_046675.1,32536263,+,LOC117142725,NC_046670.1,7365537,-,LOC116801372,NC_045952.1,8995552,-,LOC120451520,NC_053019.2,4349023,+,Dmel\CG34138,NT_033777.3,19634949,+
35713at7215,LOC6499909,NC_057927.1,6696348,-,LOC6727538,NC_052523.2,7561260,-,LOC6535596,NC_052530.2,5129679,+,LOC108014883,NW_023496816.1,2562516,-,LOC108157593,NC_046675.1,11099109,-,LOC117145055,NC_046670.1,8297116,-,LOC6613731,NC_045952.1,9940981,-,LOC120451667,NC_053019.2,3380256,+,ChT,NT_033777.3,18680604,+
3647at7215,LOC6500485,NC_057927.1,3789589,+,LOC6727213,NC_052523.2,4983001,-,LOC6535917,NC_052530.2,7775781,+,LOC108014417,NW_023496816.1,3364759,+,LOC108156086,NC_046675.1,5823639,+,LOC117142603,NC_046670.1,5757202,-,LOC6620027,NC_045952.1,7344649,-,LOC120450972,NC_053019.2,5986788,+,Idi,NT_033777.3,21270126,+
36737at7215,LOC6501289,NC_057927.1,15938075,+,LOC6727239,NC_052523.2,5143690,+,LOC6535888,NC_052530.2,7613881,-,LOC108018403,NW_023496816.1,3184737,-,LOC108155032,NC_046675.1,21417328,+,LOC117142671,NC_046670.1,5918638,+,LOC6620058,NC_045952.1,7503079,+,LOC120450939,NC_053019.2,5824019,-,Sec15,NT_033777.3,21105046,-
3739at7215,LOC6499903,NC_057927.1,6743526,-,LOC6728323,NC_052523.2,13494390,-,LOC6536857,NC_052530.2,14563481,+,LOC108008071,NW_023496816.1,2612978,-,LOC108156785,NC_046675.1,5994951,-,LOC117144008,NC_046670.1,14258709,-,LOC6606629,NC_045952.1,15877326,-,LOC120453766,NC_053019.2,12764019,+,Gnmt,NT_033777.3,12674608,+
39665at7215,LOC6505859,NC_057927.1,27344124,-,LOC6727531,NC_052523.2,7494363,-,LOC6535608,NC_052530.2,5196951,+,LOC108014894,NW_023496816.1,2493780,-,LOC108154636,NC_046675.1,17274648,+,LOC117145981,NC_046670.1,8234674,-,LOC6613721,NC_045952.1,9878092,-,LOC120454509,NC_053019.2,3444909,+,gwl,NT_033777.3,18746370,+
39883at7215,LOC6500649,NC_057927.1,6641961,+,LOC6727533,NC_052523.2,7501021,+,LOC6535606,NC_052530.2,5182901,-,LOC108014895,NW_023496816.1,2500926,+,LOC108156359,NC_046675.1,11044908,+,LOC117145964,NC_046670.1,8241387,+,LOC6613723,NC_045952.1,9884805,+,LOC120451319,NC_053019.2,3431876,-,Mekk1,NT_033777.3,18733106,-
41505at7215,LOC6501296,NC_057927.1,15989430,+,LOC6727248,NC_052523.2,5193654,+,LOC6535885,NC_052530.2,7559071,-,LOC108018401,NW_023496816.1,3124018,-,LOC108156840,NC_046675.1,32858585,+,LOC117143148,NC_046670.1,5966422,+,LOC6620068,NC_045952.1,7551704,+,LOC120451625,NC_053019.2,5767003,-,Mvl,NT_033777.3,21051383,-
41871at7215,LOC6499338,NC_057927.1,15429220,-,LOC6727474,NC_052523.2,7012530,-,LOC6535664,NC_052530.2,5687670,+,LOC108010755,NW_023496816.1,1962875,-,LOC108156594,NC_046675.1,32068145,+,LOC117143268,NC_046670.1,7762168,-,LOC116801461,NC_045952.1,9389192,-,LOC120453249,NC_053019.2,3934707,+,Gdn1,NT_033777.3,19229463,+
43137at7215,LOC6500652,NC_057927.1,6689412,+,LOC6727537,NC_052523.2,7554203,+,LOC6535599,NC_052530.2,5141913,-,LOC108014892,NW_023496816.1,2554717,+,LOC108154520,NC_046675.1,11092272,+,LOC117144492,NC_046670.1,8290181,+,LOC6613729,NC_045952.1,9934171,+,LOC120453148,NC_053019.2,3392662,-,Dmel\CG14300,NT_033777.3,18693293,-
45042at7215,LOC6505864,NC_057927.1,27172035,-,LOC6727518,NC_052523.2,7328076,-,LOC6535621,NC_052530.2,5362057,+,LOC108020123,NW_023496816.1,2312289,-,LOC108156970,NC_046675.1,15592674,+,LOC117143124,NC_046670.1,8074937,-,LOC6613708,NC_045952.1,9715764,-,LOC120452059,NC_053019.2,3608073,+,EndoA,NT_033777.3,18906609,+
45483at7215,LOC6494447,NC_057927.1,24565382,-,LOC6727222,NC_052523.2,5032334,-,LOC6535908,NC_052530.2,7721178,+,LOC108014430,NW_023496816.1,3305625,+,LOC108154237,NC_046675.1,5774160,+,LOC117145699,NC_046670.1,5806417,-,LOC6620036,NC_045952.1,7394227,-,LOC120454125,NC_053019.2,5934263,+,Oga,NT_033777.3,21219077,+
46042at7215,LOC6499911,NC_057927.1,6652102,-,LOC6727535,NC_052523.2,7516662,-,LOC6535601,NC_052530.2,5155263,+,LOC108014885,NW_023496816.1,2513908,-,LOC108153961,NC_046675.1,11055559,-,LOC117145254,NC_046670.1,8252525,-,LOC6613725,NC_045952.1,9896200,-,LOC120453641,NC_053019.2,3405072,+,ChAT,NT_033777.3,18705501,+
49242at7215,LOC6500745,NC_057927.1,7737324,+,LOC6728343,NC_052523.2,13670876,-,LOC6536834,NC_052530.2,14385480,+,LOC108018685,NW_023496816.1,2833700,-,LOC108154244,NC_046675.1,5727372,+,LOC117144029,NC_046670.1,14431801,-,LOC6606652,NC_045952.1,16052762,-,LOC120450793,NC_053019.2,12586103,+,Dmel\CG12267,NT_033777.3,12460414,+
50189at7215,LOC6501229,NC_057927.1,15030062,+,LOC6727436,NC_052523.2,6606065,+,LOC6535707,NC_052530.2,6104469,-,LOC108014170,NW_023496816.1,1508762,+,LOC108156206,NC_046675.1,32542426,-,LOC117142723,NC_046670.1,7358626,+,LOC6619056,NC_045952.1,8988705,+,LOC120451519,NC_053019.2,4348086,-,subdued,NT_033777.3,19633418,-
51377at7215,LOC6501243,NC_057927.1,15413650,+,LOC6727473,NC_052523.2,6997161,+,LOC6535665,NC_052530.2,5688977,-,LOC108010741,NW_023496816.1,1946436,+,LOC108156593,NC_046675.1,32069432,-,LOC117143267,NC_046670.1,7746864,+,LOC6619092,NC_045952.1,9373936,+,LOC120453246,NC_053019.2,3936019,-,unc79,NT_033777.3,19230764,-
51640at7215,LOC6500739,NC_057927.1,7709247,+,LOC6728352,NC_052523.2,13697911,-,LOC6536825,NC_052530.2,14358957,+,LOC108018672,NW_023496816.1,2865621,-,LOC108155625,NC_046675.1,5683547,+,LOC117142509,NC_046670.1,14458802,-,LOC6606661,NC_045952.1,16084152,-,LOC120454642,NC_053019.2,12553622,+,Srlp,NT_033777.3,12434098,+
5183at7215,LOC6499904,NC_057927.1,6726274,-,LOC6728317,NC_052523.2,13476235,-,LOC6536863,NC_052530.2,14580635,-,LOC108008079,NW_023496816.1,2593767,-,LOC108155657,NC_046675.1,11128878,-,LOC117144517,NC_046670.1,14240637,-,LOC6606623,NC_045952.1,15859283,-,LOC120454637,NC_053019.2,12781207,-,Arp1,NT_033777.3,12691743,+
52533at7215,LOC6505802,NC_057927.1,28065157,-,LOC6727231,NC_052523.2,5109510,-,LOC6535899,NC_052530.2,7644868,+,LOC108018402,NW_023496816.1,3218125,+,LOC108155450,NC_046675.1,31654662,+,LOC117144145,NC_046670.1,5887736,-,LOC6620048,NC_045952.1,7471662,-,LOC120454661,NC_053019.2,5854323,+,Usp8,NT_033777.3,21134262,+
5376at7215,LOC6499349,NC_057927.1,15203599,-,LOC6727449,NC_052523.2,6789155,-,LOC6535692,NC_052530.2,5888115,+,LOC108013749,NW_023496816.1,1716858,-,LOC108154983,NC_046675.1,32273434,+,LOC117144499,NC_046670.1,7541691,-,LOC6619070,NC_045952.1,9169554,-,LOC120452143,NC_053019.2,4126568,+,Dmel\CG31221,NT_033777.3,19412689,+
54639at7215,LOC6501301,NC_057927.1,16025570,+,LOC6727254,NC_052523.2,5228130,+,LOC6535879,NC_052530.2,7526381,-,LOC108017192,NW_023496816.1,3085425,-,LOC108157663,NC_046675.1,32895042,+,LOC117142732,NC_046670.1,6003635,+,LOC6620075,NC_045952.1,7588061,+,LOC120453690,NC_053019.2,5734713,-,Dmel\CG17278,NT_033777.3,21021044,-
55558at7215,LOC6494523,NC_057927.1,24564587,+,LOC6727221,NC_052523.2,5031567,+,LOC6535909,NC_052530.2,7724860,-,LOC108004816,NW_023496816.1,3309274,-,LOC108154252,NC_046675.1,5777838,-,LOC117145701,NC_046670.1,5805673,+,LOC6620035,NC_045952.1,7393488,+,LOC120454127,NC_053019.2,5937960,-,mat1,NT_033777.3,21220704,-
58981at7215,LOC6499908,NC_057927.1,6702526,-,LOC6727539,NC_052523.2,7567683,-,LOC6535595,NC_052530.2,5126924,+,LOC108014887,NW_023496816.1,2570490,-,LOC108155712,NC_046675.1,11105256,-,LOC117144698,NC_046670.1,8303541,-,LOC6613732,NC_045952.1,9947449,-,LOC120451666,NC_053019.2,3377654,+,Dmel\CG7706,NT_033777.3,18677818,+
60837at7215,LOC6500044,NC_057927.1,3794911,-,LOC6727209,NC_052523.2,4960182,+,LOC26536068,NC_052530.2,7783659,-,LOC108013852,NW_023496816.1,3375779,-,LOC108155192,NC_046675.1,5831358,-,LOC117145398,NC_046670.1,5734332,+,LOC6620085,NC_045952.1,7322115,+,LOC120453180,NC_053019.2,5993365,-,SIFaR,NT_033777.3,21276664,-
62129at7215,LOC6499898,NC_057927.1,6787432,-,LOC6728331,NC_052523.2,13537606,-,LOC6536849,NC_052530.2,14519166,+,LOC108008060,NW_023496816.1,2663209,-,LOC108154861,NC_046675.1,1747089,-,LOC117146004,NC_046670.1,14301695,-,LOC6606639,NC_045952.1,15922939,-,LOC120452147,NC_053019.2,12720397,+,Not10,NT_033777.3,12630647,+
62177at7215,LOC6499296,NC_057927.1,15916586,-,LOC6727232,NC_052523.2,5115713,-,LOC6535897,NC_052530.2,7640871,+,LOC108018411,NW_023496816.1,3214291,+,LOC108155835,NC_046675.1,31629113,-,LOC117144327,NC_046670.1,5893294,-,LOC6620050,NC_045952.1,7477870,-,LOC120450774,NC_053019.2,5850302,+,Ice2,NT_033777.3,21130216,+
62196at7215,LOC6500136,NC_057927.1,2329233,-,LOC6727401,NC_052523.2,6354551,+,LOC6535741,NC_052530.2,6365688,-,LOC108015585,NW_023496816.1,1242433,+,LOC108154801,NC_046675.1,28637619,+,LOC117145515,NC_046670.1,7111812,+,LOC6619024,NC_045952.1,8720385,+,LOC120454516,NC_053019.2,4601892,-,ClpX,NT_033777.3,19897372,-
63027at7215,LOC6499294,NC_057927.1,15929787,-,LOC6727236,NC_052523.2,5133724,-,LOC6535891,NC_052530.2,7626173,+,LOC108014405,NW_023496816.1,3197725,+,LOC108155682,NC_046675.1,21407072,-,LOC117142962,NC_046670.1,5908623,-,LOC6620055,NC_045952.1,7493032,-,LOC120452866,NC_053019.2,5835639,+,ppan,NT_033777.3,21116254,+
63464at7215,LOC6501369,NC_057927.1,17605728,+,LOC6727496,NC_052523.2,7194655,-,LOC6535642,NC_052530.2,5492683,+,LOC108014150,NW_023496816.1,2166707,-,LOC108157697,NC_046675.1,7154320,+,LOC117144407,NC_046670.1,7941355,-,LOC6620507,NC_045952.1,9574075,-,LOC120451905,NC_053019.2,3740396,+,Dmel\CG6026,NT_033777.3,19033538,+
65463at7215,LOC6505650,NC_057927.1,26919892,+,LOC6728335,NC_052523.2,13576005,+,LOC6536845,NC_052530.2,14437321,-,LOC108010944,NW_023496816.1,2715830,+,LOC108157462,NC_046675.1,1785153,+,LOC117145310,NC_046670.1,14338788,+,LOC6606643,NC_045952.1,15994145,+,LOC120451174,NC_053019.2,12637707,-,Octbeta2R,NT_033777.3,12550625,-
66859at7215,LOC6501368,NC_057927.1,17603415,+,LOC6727497,NC_052523.2,7206767,-,LOC6535641,NC_052530.2,5490574,+,LOC108018454,NW_023496816.1,2179050,-,LOC108157472,NC_046675.1,7145994,+,LOC117143108,NC_046670.1,7953521,-,LOC6620508,NC_045952.1,9586284,-,LOC120453838,NC_053019.2,3738155,+,Dmel\CG6013,NT_033777.3,19031503,+
68220at7215,LOC6501291,NC_057927.1,15948110,+,LOC6727242,NC_052523.2,5153891,+,LOC26535620,NC_052530.2,7591832,-,LOC108018394,NW_023496816.1,3160276,-,LOC108155780,NC_046675.1,32816962,+,LOC117142998,NC_046670.1,5928974,+,LOC6620062,NC_045952.1,7513334,+,LOC120451551,NC_053019.2,5801712,-,RhoGAP93B,NT_033777.3,21083043,-
68861at7215,LOC6499902,NC_057927.1,6745709,-,LOC6728324,NC_052523.2,13496546,-,LOC6536856,NC_052530.2,14551507,+,LOC108008055,NW_023496816.1,2615593,-,LOC108154525,NC_046675.1,5996920,-,LOC117145180,NC_046670.1,14260847,-,LOC6606630,NC_045952.1,15879237,-,LOC120453777,NC_053019.2,12751397,+,Dmel\CG14395,NT_033777.3,12662831,+
70290at7215,LOC6499214,NC_057927.1,17625327,-,LOC6727495,NC_052523.2,7151491,+,LOC6535643,NC_052530.2,5503841,-,LOC108014149,NW_023496816.1,2113398,+,LOC108156506,NC_046675.1,7161794,-,LOC117146108,NC_046670.1,7898506,+,LOC6620511,NC_045952.1,9525104,+,LOC120450976,NC_053019.2,3752211,-,cdi,NT_033777.3,19044882,-
