Ortholog Group ID,Drosophila ananassae,Drosophila simulans,Drosophila yakuba,Drosophila suzukii,Drosophila miranda,Drosophila mauritiana,Drosophila sechellia,Drosophila santomea,Drosophila melanogaster
10700at7215,Dana\GF23377,Dsim\AP-50,Dyak\AP-50,LOC108020490,LOC108155400,LOC117143188,Dsec\GM26435,120453742,AP-2mu
10750at7215,Dana\GF16535,Dsim\GD20785,Dyak\GE24764,LOC108017479,LOC108155463,LOC117144441,Dsec\GM26245,120454496,CG9393;Dmel\CG9393
10834at7215,Dana\GF18719,Dsim\GD28088,Dyak\pll,LOC108020158,LOC108156651,LOC117144903,Dsec\GM10117,120454288,pll
10840at7215,Dana\GF14607,Dsim\GD23136,Dyak\GE18018,LOC108008056,LOC108162073,LOC117150349,Dsec\GM18320,120454942,Dmel\CG34174
10883at7215,Dana\GF18377,Dsim\GD18763,Dyak\GE24179,LOC108010631,LOC108155520,LOC117142851,Dsec\GM23952,120454474,Dmel\CG10898
10894at7215,Dana\GF14403,Dsim\GD29003,Dyak\GE15114,LOC108005835,LOC108164237,LOC117146249,LOC6613097,120450340,Dmel\CG18641
10898at7215,Dana\GF14226,Dsim\GD22191,Dyak\Csl4,LOC108009410,LOC108161639,LOC117150594,Dsec\GM11135,120447140,Csl4
10960at7215,Dana\GF15604,Dsim\GD22021,Dyak\GE25181,LOC108011782,LOC108162220,LOC117148510,Dsec\GM14974,120452865,NimC3
10962at7215,Dana\GF24780,Dsim\GD13301,Dyak\GE20656,LOC108011858,LOC108152776,LOC117140778,Dsec\GM14022,120448877,CG11594;Dmel\CG11594
10963at7215,Dana\GF13801,Dsim\GD10313,Dyak\GE24609,LOC108018056,LOC108158754,LOC117136171,Dsec\GM20862,120444857,Tdc1
10968at7215,Dana\GF11913,Dsim\GD19071,Dyak\GE24363,LOC108014542,LOC108156169,LOC117144966,Dsec\GM24281,120452647,Dmel\CG5013
10970at7215,Dana\GF27840,Dsim\GD25261,Dyak\GE13782,LOC108008591,LOC108158621,LOC117137150,LOC116800487,120444414,CG10438
10974at7215,Dana\GF23505,Dsim\GD12084,Dyak\GE19521,LOC108017630,LOC108152833,LOC117139515,Dsec\GM22108,120448382,Dmel\CG32448
11034at7215,Dana\GF14025,Dsim\GD22495,Dyak\GE18359,LOC108005269,LOC108163187,LOC117141892,Dsec\GM13560,120458289,CG5958;Dmel\CG5958
11041at7215,Dana\GF18883,Dsim\GD18304,Dyak\GE10812,LOC108020668,LOC108157173,LOC117144646,Dsec\GM23497,120453341,Dmel\CG34290
11052at7215,Dana\GF27776,Dsim\GD28992,Dyak\GE28565,LOC108011701,LOC108155651,LOC117143074,LOC116801553,120451289,CG42814-RA
11055at7215,Dana\GF21463,Dsim\Pgd,Dyak\Pgd,LOC108016847,LOC108152379,LOC117148159,Dsec\GM19200,120456325,Pgd
11057at7215,Dana\Mal-A5,Dsim\GD10567,Dyak\Mal-A5,LOC108019580,LOC108160458,LOC117137094,Dsec\GM21036,120458368,Mal-A5
11064at7215,Dana\GF24926,Dsim\GD22970,Dyak\GE16272,LOC108014186,LOC108162586,LOC117138002,Dsec\GM16682,120454444,Dmel\CG3625
11072at7215,Dana\GF18424,Dsim\GD20813,Dyak\GE24794,LOC108005727,LOC108155348,LOC117143906,Dsec\GM26278,120450824,Vps15
11075at7215,Dana\GF15137,Dsim\GD23804,Dyak\GE18559,LOC108021367,LOC108161287,LOC117139996,Dsec\GM26690,120452764,escl
11097at7215,Dana\GF16256,Dsim\GD21032,Dyak\GE10388,LOC108007836,LOC108156515,LOC117145321,Dsec\GM26524,120453553,CG10300;Dmel\CG10300
11107at7215,Dana\GF11619,Dsim\GD25167,Dyak\GE13677,LOC108008372,LOC108159765,LOC117136684,Dsec\GM15688,120446426,Loxl2
11115at7215,Dana\GF10191,Dsim\GD12146,Dyak\GE22363,LOC108012378,LOC108153148,LOC117140610,Dsec\GM22169,120448893,anon-WO0118547.713
11168at7215,Dana\GF16238,Dsim\GD18948,Dyak\GE24221,LOC108015940,LOC108155469,LOC117142950,Dsec\GM24152,120451724,RpII140
11195at7215,Dana\GF10109,Dsim\GD12991,Dyak\GE21307,LOC108012344,LOC108151862,LOC117140869,Dsec\GM24940,120449526,Oseg1
11196at7215,Dana\GF14260,Dsim\GD23928,Dyak\GE18686,LOC108021026,LOC108164040,LOC117143613,Dsec\GM15264,120458034,b
11198at7215,Dana\GF20869,Dsim\GD27264,Dyak\GE17055,LOC108005168,LOC108164848,LOC117146772,Dsec\GM11612,120456679,Dmel\CG15743;IMP 3;IMPase 3
11232at7215,Dana\GF11263,Dsim\GD25536,Dyak\GE14059,LOC108010177,LOC108160255,LOC117136933,Dsec\GM20055,120446356,Dmel\CG7848
11325at7215,Dana\GF17225,Dsim\GD18795,Dyak\GE26154,LOC108019276,LOC108155421,LOC117144751,LOC6606741,120452572,Ect3
11336at7215,Dana\GF21822,Dsim\GD15716,Dyak\GE15636,LOC108005383,LOC108151683,LOC117147748,Dsec\GM13358,120456416,Nprl2
11433at7215,Dana\GF13377,Dsim\GD25606,Dyak\GE14141,LOC108017830,LOC108158940,LOC117138190,Dsec\GM20127,120446444,Dmel\CG8207
11486at7215,Dana\GF21088,Dsim\GD16736,Dyak\GE16411,LOC108015023,LOC108165044,LOC117148271,Dsec\GM12417,120456945,BcDNA:RE01432
11493at7215,Dana\GF17355,Dsim\GD20098,Dyak\GE25110,LOC108015956,LOC108155179,LOC117145921,Dsec\GM26891,120450864,anon-WO02059370.13
1152at7215,Dana\GF14627,Dsim\GD22431,Dyak\GE11117,LOC108021559,LOC108162784,LOC117150553,Dsec\GM13130,120455745,CG8292;Dmel\CG8292
11585at7215,Dana\GF21408,Dsim\GD17109,Dyak\GE17053,LOC108005170,LOC108154595,LOC117148554,Dsec\GM11610,120456648,REG
11593at7215,Dana\GF14191,Dsim\GD23827,Dyak\GE18579,LOC108006037,LOC108163980,LOC117150451,LOC6617726,120458594,crok
11605at7215,Dana\GF22840,Dsim\GD24409,Dyak\GE14555,LOC108020405,LOC108164411,LOC117146240,LOC6619471,120454819,Eph
11620at7215,Dana\GF10843,Dsim\GD12244,Dyak\GE22459,LOC108005790,LOC108153005,LOC117140678,Dsec\GM15893,120448788,Rab8
11630at7215,Dana\GF16078,Dsim\GD27194,Dyak\GE25317,LOC108005941,LOC108157810,LOC117145068,Dsec\GM10667,120453857,anon-SAGE:Wang-083;CG2016;CG2016-RB;Dmel\CG2016
11647at7215,Dana\GF22152,Dsim\GD22429,Dyak\GE15254,LOC108020467,LOC108164997,LOC117147657,Dsec\GM10050,120456149,Rab21
11651at7215,Dana\GF16588,Dsim\GD18603,Dyak\GE25939,LOC108006983,LOC108154620,LOC117144546,Dsec\GM23792,120453040,Vps16A
1167at7215,Dana\GF15013,Dsim\GD22006,Dyak\GE25004,LOC108012519,LOC108162443,LOC117144260,Dsec\GM14817,120452964,Pburs
11681at7215,Dana\GF24735,Dsim\GD13262,Dyak\GE20620,LOC108020209,LOC108153432,LOC117139517,Dsec\GM13980,120449000,DopEcR
11704at7215,Dana\GF18444,Dsim\GD20944,Dyak\GE10295,LOC108020517,LOC108155203,LOC117145012,Dsec\GM26427,120453821,Dmel\CG7059
11740at7215,Dana\GF17886,Dsim\GD21170,Dyak\GE23555,LOC108005011,LOC108156283,LOC117145992,Dsec\GM17799,120453677,CG11920;Dmel\CG11920
11742at7215,Dana\GF23971,Dsim\GD13880,Dyak\GE21485,LOC108014471,LOC108151058,LOC117139952,Dsec\GM14698,120449227,AlaRS-m
11769at7215,Dana\GF16594,Dsim\GD16557,Dyak\chp,LOC108010858,LOC108154617,LOC117145802,Dsec\GM12100,120451845,chp
11775at7215,Dana\GF18495,Dsim\GD19096,Dyak\GE24394,LOC108004944,LOC108155100,LOC117144940,Dsec\GM15154,120452308,Dmel\CG17565
11784at7215,Dana\GF22000,Dsim\GD16497,Dyak\cin,LOC108016804,LOC108164689,LOC117147707,Dsec\GM19053,120455893,cin
11806at7215,Dana\GF16192,Dsim\GD17212,Dyak\GE23401,LOC108016480,LOC108155893,LOC117142293,Dsec\GM12168,120453212,anon-WO0118547.264
11813at7215,Dana\GF24133,Dsim\GD12186,Dyak\GE22744,LOC108013193,LOC108151789,LOC117139210,Dsec\GM22214,120450445,mRpL15
11842at7215,Dana\GF18729,Dsim\GD18004,Dyak\GE10485,LOC108018345,LOC108157434,LOC117146033,Dsec\GM12273,120453021,wat
11871at7215,Dana\GF14229,Dsim\GD22194,Dyak\GE13010,LOC108005551,LOC108161628,LOC117141297,Dsec\GM11156,120458427,Dmel\CG6201
11878at7215,Dana\GF18136,Dsim\GD20733,Dyak\GE24703,LOC108013928,LOC108157475,LOC117144580,Dsec\GM26184,120453435,knk
11879at7215,Dana\GF20338,Dsim\GD16270,Dyak\GE16829,LOC108016890,LOC108160728,LOC117146501,Dsec\GM12660,120457092,CG4041;Dmel\CG4041
11898at7215,Dana\GF14601,Dsim\GD23132,Dyak\GE17935,LOC108021102,LOC108162424,LOC117150952,LOC6620621,120458925,GlyP
11904at7215,Dana\GF14684,Dsim\GD22412,Dyak\GE11031,LOC108018043,LOC108162192,LOC117150820,Dsec\GM12994,120443781,Aats-ala-RB;AlaRS
11917at7215,Dana\GF16861,Dsim\GD10336,Dyak\GE19428,LOC108010969,LOC108160484,LOC117137507,LOC6619156,120458697,SmydA-5
11932at7215,LOC6506073,Dsim\GD22129,Dyak\GE12413,LOC108021135,LOC108161259,LOC117144692,Dsec\GM26318,120453725,Patsas
11937at7215,Dana\GF11373,Dsim\GD15463,Dyak\GE14380,LOC108009160,LOC108157997,LOC117137924,LOC6613024,120446704,BEST:GH04269
11948at7215,Dana\GF19434,Dsim\GD15511,Dyak\GE16093,LOC108005278,LOC108155826,LOC117146391,Dsec\GM12030,120455826,Dmel\CG9521
1202at7215,Dana\GF11727,Dsim\GD11469,Dyak\GE12067,LOC108008772,LOC108161010,LOC117137478,Dsec\GM21974,120445385,CG15123
12040at7215,Dana\GF19082,Dsim\GD15756,Dyak\GE15978,LOC108006270,LOC108164845,LOC117146644,Dsec\GM13409,120456629,CG9917-RA;Dmel\CG9917
12056at7215,Dana\GF18047,Dsim\GD20899,Dyak\GE10244,LOC108016182,LOC108156225,LOC117144351,Dsec\GM26377,120452960,lsn
12100at7215,Dana\GF16839,Dsim\GD24716,Dyak\GE16690,LOC108016589,LOC108151467,LOC117148049,Dsec\GM19143,120457354,pck
12150at7215,Dana\GF12445,Dsim\GD15257,Dyak\GE13062,LOC108008634,LOC108156133,LOC117138375,Dsec\GM20482,120446648,Rpb5
12166at7215,Dana\GF17666,Dsim\GD19925,Dyak\GE24916;Dyak\GE27942,LOC108017122,LOC108155764,LOC117143379,Dsec\GM10945,120453376,Dmel\CG10050
12170at7215,Dana\GF10394,Dsim\GD13569,Dyak\GE21097,LOC108013306,LOC108152283,LOC117139931,Dsec\GM14352,120449820,RabX6
12190at7215,Dana\GF19083,Dsim\GD17404,6525842,LOC108004849,LOC108153685,LOC117147434,Dsec\GM22913,120457017,CG6891;Dmel\CG6891
12215at7215,Dana\GF15059,Dsim\GD24141,Dyak\GE13192,LOC108021574,LOC108162980,LOC117150867,Dsec\GM17279,120446063,Dmel\CG10211
12225at7215,LOC6499293,Dsim\GD19397,Dyak\GE25707,LOC108014421,LOC108155684,LOC117142964,Dsec\GM15065,120452532,Rab11
12250at7215,Dana\GF22089,Dsim\GD16778,Dyak\GE17573,LOC108004572,LOC108164959,LOC117148211,Dsec\GM12460,120456484,MCTS1
12273at7215,Dana\GF23442,Dsim\GD12050,Dyak\GE19487,LOC108007707,LOC108153007,LOC117140547,Dsec\GM22074,120449004,EMC4
12280at7215,Dana\GF10327,Dsim\GD14038,Dyak\GE21642,LOC108006846,LOC108151973,LOC117140264,Dsec\GM25004,120447502,eIF4E5
12301at7215,Dana\GF23239,RpL32,Dyak\RpL32;RpL32,LOC108019308,LOC108156419;RpL32,LOC117142359,Dsec\GM12186,120453598,RpL32
12312at7215,Dana\GF22869,Dsim\GD17683,Dyak\GE10433,LOC108007561,LOC108156106,LOC117145624,Dsec\GM12227,120453461,Naa40
12323at7215,Dana\GF25001,Dsim\GD12746,Dyak\l(3)neo18,LOC108012490,LOC108152377,LOC117141266,Dsec\GM24678,120447620,ND-SGDH
12373at7215,Dana\GF14782,Dsim\GD21883,Dyak\GE13148,LOC108011637,LOC108161470,LOC117145643,Dsec\GM17142,120445500,Dmel\CG15136
12389at7215,Dana\GF16315,Dsim\GD21149,Dyak\GE23534,LOC108014565,LOC108155331,LOC117143745,Dsec\GM26648,120452642,Dmel\CG11771
12428at7215,Dana\GF12410,Dsim\GD25915,Dyak\GE13024,LOC108010116,LOC108159714,LOC117135732,Dsec\GM20447,120457783,Fpps
12460at7215,Dana\GF16865,Dsim\GD18754,Dyak\GE26095,LOC108010640,LOC108155413,LOC117145341,Dsec\GM23944,120453426,Dtd
12500at7215,eIF-3p40,Dsim\GD14929,eIF-3p40,LOC108016984,LOC108162354,LOC117150754,eIF-3p40,120453368,eIF3h
12518at7215,Dana\GF18664,Dsim\GD18556,Dyak\GE25889,LOC108007957,LOC108155868,LOC117145584,Dsec\GM23745,120450925,SLIRP2
12595at7215,Dana\GF19136,Dsim\GD16965,Dyak\GE17810,LOC108015276,LOC108164923,LOC117147339,LOC6617487,120455834,CARPB
12599at7215,Dana\GF23512,Dsim\GD13931,Dyak\GE21536,LOC108012698,LOC108151942,LOC117140988,Dsec\GM14749,120449357,BcDNA:RE60135
12618at7215,Dana\GF22904,Dsim\GD21521,Dyak\GE10881,LOC108017273,LOC108155852,LOC117143640,Dsec\GM12882,120452493,PH4alphaEFB
12628at7215,Dana\GF21920,Dsim\GD17228,Dyak\GE17206,LOC108019141,LOC108161992,LOC117148772,Dsec\GM22565,120455235,CG8128;Dmel\CG8128
12673at7215,Dana\GF18400,Dsim\GD18784,Dyak\GE24203,LOC108014711,LOC108155571,LOC117145658,Dsec\GM23979,120454241,HisCl1
12677at7215,Dana\GF22188,Dsim\GD16579,Dyak\GE16225,LOC108016662,LOC108164622,LOC117148283,Dsec\GM19183,120456965,EG:39E1.2
12678at7215,eIF3f1,eIF3f1,eIF3f1,LOC108005930,LOC108156949,LOC117145159,eIF3f1,120453077,eIF3f1
12704at7215,Dana\GF24773,Dsim\crq,Dyak\crq,LOC108020920,LOC108162087,LOC117150656,Dsec\GM16668,120454132,crq
1272at7215,Dana\GF15455,Dsim\GD21715,Dyak\GE12607,LOC108019348,LOC108162002,LOC117135287,Dsec\GM16963,120444991,38B.13;CG10747
12734at7215,Dana\GF23291,Dsim\GD21419,Dyak\GE23837,LOC108007224,LOC108154727,LOC117145726,Dsec\GM12769,120454552,superdeath
12743at7215,Dana\GF24817,Dsim\GD14374,Dyak\GE21899,LOC108012704,LOC108165502,LOC117140681,Dsec\GM25341,120448488,CG10418;Dmel\CG10418
12747at7215,Dana\GF21254,Dsim\GD15738,Dyak\GE15956,LOC108011127,LOC108156129,LOC117147118,Dsec\GM13382,120455772,snRNP-G;SNRPG
12761at7215,Dana\GF10289,Dsim\GD14082,Dyak\GE20731,LOC108012609,LOC108151359,LOC117139457,Dsec\GM25045,120448330,Pex2
12815at7215,Dana\GF20327,Dsim\GD16168,Dyak\GE17548,LOC108016623,LOC108162767,LOC117147966,Dsec\GM17483,120456733,CG3032;Dmel\CG3032
12818at7215,Dana\GF18464,Dsim\GD20118,Dyak\GE25133,LOC108010752,LOC108155317,LOC117142558,Dsec\GM26912,120454337,Dmel\CG3581
12859at7215,Dana\GF20746,Dsim\GD21095,Dyak\GE23478,LOC108020641,LOC108156861,LOC117145487,Dsec\GM26593,120453346,Dmel\CG33340
12890at7215,Dana\GF16923,Dsim\GD18866,Dyak\GE26227,LOC108011582;LOC108014121,LOC108157293,LOC117145200,Dsec\GM24069,120451805,CG7091;Dmel\CG7091
12893at7215,Dana\GF23287,Dsim\GD21413,Dyak\GE23833,LOC108007216,LOC108155650,LOC117144529,Dsec\GM12765,120454562,Pdhb
12923at7215,Dana\GF14541,Dsim\GD21893,Dyak\GE13160,LOC108018524,LOC108161940,LOC117138665,LOC6614437,120444512,Dmel\CG13282
12931at7215,Dana\GF23369,Dsim\GD21459,Dyak\GE23878,LOC108015520,LOC108156178,LOC117142306,Dsec\GM12815,120451229,Gnpnat
12969at7215,Dana\GF22242,Dsim\GD15785,Dyak\GE16030,LOC108019143,LOC108162006,LOC117148774,Dsec\GM22537,120455236,Pis
12987at7215,Dana\GF10062,Dsim\GD13482,Dyak\GE20966,LOC108013585,LOC108151891,LOC117139659,Dsec\GM14219,120447449,Dmel\CG2211
13026at7215,Dana\GF15278,Dsim\GD22839,Dyak\GE15118,LOC108021575,LOC108162652,LOC117137604,Dsec\GM18233,120443755,Dmel\CG3609
13030at7215,Dana\GF21354,Dsim\GD23293,Dyak\GE18301,LOC108005815,LOC108164098,LOC117150494,Dsec\GM18483,120450071,CG3355;Dmel\CG3355
13126at7215,Dana\GF11192,Dsim\GD25765,Dyak\GE13368,LOC108019646,LOC108157945,LOC117136478,Dsec\GM20285,120445978,Dmel\CG10814
13176at7215,LOC6507293,Dsim\GD29094,Dyak\GE21237,LOC108012382,LOC108151240,LOC117141572,LOC6605039,120450222,CG3434
13180at7215,Dana\GF19174,Dsim\GD16099,Dyak\GE17436,LOC108015029,LOC108162959,LOC117146564,Dsec\GM21149,120455279,Ppt1
13212at7215,Dana\GF24132,Dsim\GD12185,Dyak\GE22742,LOC108013192,LOC108151788,LOC117139209,Dsec\GM22213,120450442,Hpd
13230at7215,LOC6503403,Dsim\GD18288,Dyak\GE10794,LOC108006426,LOC108156060,LOC117142240,Dsec\GM23481,120450746,nAChRbeta2
1324at7215,Dana\GF13806,Dsim\GD10319,Dyak\GE24665,LOC108018061,LOC108160518,LOC117137208,Dsec\GM20867,120443946,Fmo-2
13261at7215,Dana\GF16567,Dsim\GD18460,Dyak\GE24040,LOC108020512,LOC108156977,LOC117142805,Dsec\GM23653,120452698,pinta
13281at7215,Dana\GF20323,Dsim\GD27673,Dyak\GE15551,LOC108016919,LOC108161471,LOC117147180,Dsec\GM22833,120455765,ari-1
13298at7215,Dana\GF22564,Dsim\GD17175,Dyak\GE17148,LOC108006548,LOC108164535,LOC117147686,Dsec\GM17681,120457314,nmdyn-D6
13351at7215,Dana\GF16253,Dsim\GD21027,Dyak\GE10384,LOC108007843,LOC108156513,LOC117144931,LOC6620989,120453477,Gba1a
13352at7215,Dana\GF18517,Dsim\GD20008,Dyak\GE25018,LOC108019443,LOC108155781,LOC117144164,Dsec\GM15102,120450938,CG7044;Dmel\CG7044
13360at7215,Dana\GF12494,Dsim\GD10067,Dyak\GE22214,LOC108008386,LOC108158814,LOC117136458,Dsec\GM20594,120448342,Dmel\CG12929
13427at7215,Dana\GF21841,Dsim\GD24432,Dyak\GE15304,LOC108015387,LOC108153725,LOC117146742,Dsec\GM22628,120455184,Dd
13484at7215,Dana\GF24626,Dsim\GD14513,Dyak\GE22037,LOC108012732,LOC108165506,LOC117141405,Dsec\GM25493,120448771,Ocho
13502at7215,Dana\GF13894,Dsim\GD23182,120320868,LOC108021517,LOC108163787,LOC117138181,Dsec\GM18366,120448120,HINT1
13514at7215,Dana\GF15405,Dsim\GD22600,Dyak\GE18948,LOC108010503,LOC108162957,LOC117135160,Dsec\GM17962,120458576,Dmel\CG9150
13570at7215,Dana\GF15052,Dsim\GD12014,Dyak\RpL40,LOC108004978,LOC108161758,LOC117150316,Dsec\GM18458,120458544,RpL40
13578at7215,Dana\GF12464,Dsim\GD10655,Dyak\GE19277,LOC108009980,LOC108158730,LOC117137929,Dsec\GM21122,120444054,Pdk
13590at7215,Dana\GF15932,Dsim\GD20225,Dyak\GE25263,LOC108017339,LOC108156509,LOC117145561,Dsec\GM16948,120451457,Prx3
13592at7215,Dana\GF16987,Dsim\GD21009,Dyak\GE10363,LOC108014864,LOC108157393,LOC117145677,Dsec\GM26496,120454236,BcDNA:RE30473;PEX11C
13593at7215,Dana\GF20738,Dsim\GD21088,Dyak\GE23470,LOC108017587,LOC108154835,LOC117145037,LOC6607724,120454148,crb
1364at7215,Dana\GF24461,Dsim\GD13563,Dyak\GE21095,LOC108013416,LOC108152026,LOC117139924,Dsec\GM14349,120449813,Gale
13652at7215,Dana\GF23537,Dsim\GD13958,Dyak\GE21564,LOC108013289,LOC108152009,LOC117139796,Dsec\GM14786,120447810,Bulli
13691at7215,Dana\GF19084,Dsim\GD16933,Dyak\GE15826,LOC108016640,LOC108164545,LOC117146958,Dsec\GM13724,120456449,Dlip1
13738at7215,Dana\GF23219,Dsim\GD19254,Dyak\GE25563,LOC108020110,LOC108157176,LOC117143509,Dsec\GM17893,120453498,Rh2;Rh2-RA
13739at7215,Dana\GF24930,Dsim\GD13405,Dyak\GE20878,LOC108012398,LOC108153582,LOC117141472,LOC6610452,120450117,CG5707-RA;HL03644
13805at7215,Dana\GF23556,Dsim\GD13982,Dyak\GE21585,LOC108013284,LOC108152292,LOC117140748,Dsec\GM14810,120448024,CG9953;Dmel\CG9953
13837at7215,Dana\GF22303,Dsim\GD16321,Dyak\GE16885,LOC108019198,LOC108163458,LOC117147034,LOC6612573,120455292,Rala
13850at7215,Dana\GF22308,Dsim\GD11637,Dyak\GE16887,LOC108019221,LOC108164636,LOC117148761,Dsec\GM12718,120455329,Dmel\CG2875
13856at7215,Dana\GF18371,Dsim\GD18756,Dyak\GE26098,108006029,LOC108155498,LOC117145337,Dsec\GM23946,120452595,Dmel\CG5281
13879at7215,Dana\GF23937,Dsim\GD14672,Dyak\GE19882,LOC108020003;LOC108020004,LOC108151597,LOC117140994,Dsec\GM25665,120448612,CG13030-RA;sinah
13912at7215,Dana\GF18721,Dsim\GD15083,Dyak\GE10575,LOC108020155,LOC108154422,LOC117143034,Dsec\GM10119,120454292,Dmel\CG5984
13920at7215,Dana\GF20299,Dsim\GD16199,Dyak\GE16470,LOC108021780,LOC108164525,LOC117147616,LOC6612288,120456292,Top3beta
13942at7215,Dana\GF15224,Dsim\GD23533,Dyak\GE18764,LOC108008870,LOC108162196,LOC117150823,Dsec\GM16922,120443784,15010468
13971at7215,Dana\GF11791,Dsim\GD20371,Dyak\GE26399,LOC108004880,LOC108155150,LOC117142802,LOC6606302,120454415,tefu
13975at7215,Dana\GF24144,Dsim\GD12197,Dyak\GE22411,LOC108005819,LOC108152750,LOC117140103,Dsec\GM22225,120448123,Ide
14012at7215,Dana\GF17972,Dsim\GD18330,Dyak\GE10837,LOC108007463,LOC108156116,LOC117146118,LOC6607662,120450769,CG13604;Dmel\CG13604
1401at7215,Dana\GF23982,Dsim\GD13890,Dyak\GE21495,LOC108005793,LOC108150916,LOC117139509,Dsec\GM14708,120449641,bc10
14055at7215,Dana\GF16672,Dsim\GD20876,Dyak\GE24859,LOC108006094,LOC108155804,LOC117145069,Dsec\GM26354,120453927,tex
14081at7215,Dana\GF15619,Dsim\GD22040,Dyak\GE11427,LOC108021025,LOC108163696,LOC117143603,Dsec\GM15104,120458032,tam
14085at7215,Dana\GF10845,Dsim\GD12246,Dyak\GE22461,LOC108005799,LOC108153114,LOC117141448,Dsec\GM16090,120450551,Fibp
