Ortholog Group ID,Drosophila ananassae,Drosophila simulans,Drosophila yakuba,Drosophila suzukii,Drosophila miranda,Drosophila mauritiana,Drosophila sechellia,Drosophila santomea,Drosophila melanogaster
10960at7215,LOC6498410,LOC6732297,LOC6528199,LOC108011782,LOC108162220,LOC117148510,LOC6611240,LOC120452865,NimC3
10962at7215,LOC6507410,LOC6736700,LOC6532884,LOC108011858,LOC108152776,LOC117140778,LOC6610696,LOC120448877,Dmel\CG11594
10963at7215,LOC6496637,LOC6733251,LOC6528305,LOC108018056,LOC108158754,LOC117136171,LOC6607873,LOC120444857,Tdc1
10968at7215,LOC6494773,LOC6727876,LOC6537096,LOC108014542,LOC108156169,LOC117144966,LOC6606171,LOC120452647,Dmel\CG5013
10970at7215,LOC26515249,LOC6735419,LOC6530767,LOC108008591,LOC108158621,LOC117137150,LOC116800487,LOC120444414,CG10438
10974at7215,LOC6506146,LOC6739075,LOC6535112,LOC108017630,LOC108152833,LOC117139515,LOC6616515,LOC120448382,Dmel\CG32448
11034at7215,LOC6496853,LOC6731354,LOC6526945,LOC108005269,LOC108163187,LOC117141892,LOC6611531,LOC120458289,Dmel\CG5958
11041at7215,LOC6501648,LOC6729383,LOC6538744,LOC108020668,LOC108157173,LOC117144646,LOC6607720,LOC120453341,Dmel\CG34290
11052at7215,LOC26515185,LOC27208835,LOC26535746,LOC108011701,LOC108155651,LOC117143074,LOC116801553,LOC120451289,CG42814-RA
11055at7215,LOC6504145,Dsim\Pgd,LOC6524447,LOC108016847,LOC108152379,LOC117148159,LOC6616093,LOC120456325,Pgd
11057at7215,LOC6495213,LOC6733541,LOC6528598,LOC108019580,LOC108160458,LOC117137094,LOC6608184,LOC120458368,Mal-A5
11064at7215,LOC6507554,LOC6730436,LOC6526282,LOC108014186,LOC108162586,LOC117138002,LOC6617231,LOC120454444,Dmel\CG3625
11072at7215,LOC6501198,LOC6728826,LOC6536323,LOC108005727,LOC108155348,LOC117143906,LOC6607150,LOC120450824,Vps15
11075at7215,LOC6497950,LOC6732035,LOC6527328,LOC108021367,LOC108161287,LOC117139996,LOC6617688,LOC120452764,escl
11097at7215,LOC6499053,LOC6729269,LOC6537923,LOC108007836,LOC108156515,LOC117145321,LOC6607612,LOC120453553,Dmel\CG10300
11107at7215,LOC6494483,LOC6735624,LOC6530564,LOC108008372,LOC108159765,LOC117136684,LOC6615440,LOC120446426,Loxl2
11115at7215,LOC6493065,LOC6738940,LOC6534707,LOC108012378,LOC108153148,LOC117140610,LOC6616390,LOC120448893,anon-WO0118547.713
11168at7215,LOC6499035,LOC6728136,LOC6537350,LOC108015940,LOC108155469,LOC117142950,LOC6606436,LOC120451724,RpII140
11195at7215,LOC6492984,LOC6737279,LOC6532718,LOC108012344,LOC108151862,LOC117140869,LOC6604876,LOC120449526,Oseg1
11196at7215,LOC6497088,LOC6732259,LOC6527553,LOC108021026,LOC108164040,LOC117143613,LOC6611202,LOC120458034,b
11198at7215,LOC6503561,LOC27207114,LOC6524589,LOC108005168,LOC108164848,LOC117146772,LOC6618652,LOC120456679,IMPase 3
11232at7215,LOC6494127,LOC6734772,LOC6531404,LOC108010177,LOC108160255,LOC117136933,LOC6609447,LOC120446356,Dmel\CG7848
11325at7215,LOC6500011,LOC6728439,LOC6536745,LOC108019276,LOC108155421,LOC117144751,LOC6606741,LOC120452572,Ect3
11336at7215,LOC6504493,LOC6726198,LOC6525599,LOC108005383,LOC108151683,LOC117147748,LOC6618006,LOC120456416,Nprl2
11433at7215,LOC6496219,LOC6734642,LOC6531543,LOC108017830,LOC108158940,LOC117138190,LOC6609312,LOC120446444,Dmel\CG8207
11486at7215,LOC6503777,LOC6725168,LOC6524139,LOC108015023,LOC108165044,LOC117148271,LOC6612400,LOC120456945,BcDNA:RE01432
11493at7215,LOC6500140,LOC6727409,LOC6535733,LOC108015956,LOC108155179,LOC117145921,LOC6619032,LOC120450864,anon-WO02059370.13
1152at7215,LOC6497449,LOC6731461,LOC6527677,LOC108021559,LOC108162784,LOC117150553,LOC6611640,LOC120455745,Dmel\CG8292
11585at7215,LOC6504092,LOC6725840,LOC6524583,LOC108005170,LOC108154595,LOC117148554,LOC6618645,LOC120456648,REG
11593at7215,LOC6497019,LOC6732075,LOC6527367,LOC108006037,LOC108163980,LOC117150451,LOC6617726,LOC120458594,crok
11605at7215,LOC6505492,LOC6724716,LOC6523735,LOC108020405,LOC108164411,LOC117146240,LOC6619471,LOC120454819,Eph
11620at7215,LOC6493710,LOC6738750,LOC6534882,LOC108005790,LOC108153005,LOC117140678,LOC6619413,LOC120448788,Rab8
11630at7215,LOC6498875,LOC27207044,LOC6535351,LOC108005941,LOC108157810,LOC117145068,LOC6613890,LOC120453857,Dmel\CG2016
11647at7215,LOC6504819,LOC6740379,LOC6526239,LOC108020467,LOC108164997,LOC117147657,LOC6620096,LOC120456149,Rab21
11651at7215,LOC6499384,LOC6728815,LOC6536335,LOC108006983,LOC108154620,LOC117144546,LOC6607139,LOC120453040,Vps16A
1167at7215,LOC6497828,LOC6732325,LOC6528231,LOC108012519,LOC108162443,LOC117144260,LOC6611273,LOC120452964,Pburs
11681at7215,LOC6507366,LOC6736774,LOC6532961,LOC108020209,LOC108153432,LOC117139517,LOC6610775,LOC120449000,DopEcR
11704at7215,LOC6501218,LOC6729087,LOC6537733,LOC108020517,LOC108155203,LOC117145012,LOC6607415,LOC120453821,Dmel\CG7059
11740at7215,LOC6500668,LOC6729536,LOC6538594,LOC108005011,LOC108156283,LOC117145992,LOC6619650,LOC120453677,Dmel\CG11920
11742at7215,LOC6506607,LOC6736857,LOC6533042,LOC108014471,LOC108151058,LOC117139952,LOC6610860,LOC120449227,AlaRS-m
11769at7215,LOC6499389,LOC6730312,LOC6538977,LOC108010858,LOC108154617,LOC117145802,LOC6612955,LOC120451845,chp
11775at7215,LOC6501268,LOC6727826,LOC6537042,LOC108004944,LOC108155100,LOC117144940,LOC6616886,LOC120452308,Dmel\CG17565
11784at7215,LOC6504670,LOC6724759,LOC6523782,LOC108016804,LOC108164689,LOC117147707,LOC6615840,LOC120455893,cin
11806at7215,LOC6498989,LOC6730194,LOC6538854,LOC108016480,LOC108155893,LOC117142293,LOC6612834,LOC120453212,anon-WO0118547.264
11813at7215,LOC6506767,LOC6738856,LOC6539740,LOC108013193,LOC108151789,LOC117139210,LOC6616305,LOC120450445,mRpL15
11842at7215,LOC6501499,LOC6729987,LOC6538116,LOC108018345,LOC108157434,LOC117146033,LOC6612631,LOC120453021,wat
11871at7215,LOC6497057,LOC6731945,LOC6527240,LOC108005551,LOC108161628,LOC117141297,LOC6612122,LOC120458427,Dmel\CG6201
11878at7215,LOC6500914,LOC6728675,LOC6536485,LOC108013928,LOC108157475,LOC117144580,LOC6606985,LOC120453435,knk
11879at7215,LOC6503048,LOC6725137,LOC6524187,LOC108016890,LOC108160728,LOC117146501,LOC6612453,LOC120457092,Dmel\CG4041
11898at7215,LOC6497423,LOC6730649,LOC6526504,LOC108021102,LOC108162424,LOC117150952,LOC6620621,LOC120458925,GlyP
11904at7215,LOC6497505,LOC6731497,LOC6527711,LOC108018043,LOC108162192,LOC117150820,LOC6611673,LOC120443781,AlaRS
11917at7215,LOC6499654,LOC6733193,LOC6529077,LOC108010969,LOC108160484,LOC117137507,LOC6619156,LOC120458697,SmydA-5
11932at7215,LOC6506073,LOC6732062,LOC6527355,LOC108021135,LOC108161259,LOC117144692,LOC6617714,LOC120453725,Patsas
11937at7215,LOC6494237,LOC6739512,LOC6531988,LOC108009160,LOC108157997,LOC117137924,LOC6613024,LOC120446704,BEST:GH04269
11948at7215,LOC6502193,LOC6726564,LOC6524757,LOC108005278,LOC108155826,LOC117146391,LOC6619564,LOC120455826,Dmel\CG9521
1202at7215,LOC6494591,LOC6735282,LOC6530917,LOC108008772,LOC108161010,LOC117137478,LOC6609968,LOC120445385,CG15123
12040at7215,LOC6501846,LOC6726122,LOC6524953,LOC108006270,LOC108164845,LOC117146644,LOC6617918,LOC120456629,Dmel\CG9917
12056at7215,LOC6500826,LOC6729013,LOC6537655,LOC108016182,LOC108156225,LOC117144351,LOC6607342,LOC120452960,lsn
12100at7215,LOC6499633,LOC6739912,LOC6523924,LOC108016589,LOC108151467,LOC117148049,LOC6615993,LOC120457354,pck
12150at7215,LOC6495295,LOC6739374,LOC6529341,LOC108008634,LOC108156133,LOC117138375,LOC6608582,LOC120446648,Rpb5
12166at7215,LOC6500449,LOC6727068,LOC26535123,LOC108017122,LOC108155764,LOC117143379,LOC6614226,LOC120453376,Dmel\CG10050
12170at7215,LOC6493264,LOC6736237,LOC6532261,LOC108013306,LOC108152283,LOC117139931,LOC6610210,LOC120449820,RabX6
12190at7215,LOC6501847,LOC6726377,6525842,LOC108004849,LOC108153685,LOC117147434,LOC6614905,LOC120457017,Dmel\CG6891
12215at7215,LOC6497873,LOC6732681,LOC6529584,LOC108021574,LOC108162980,LOC117150867,LOC6614557,LOC120446063,Dmel\CG10211
12225at7215,LOC6499293,LOC6727237,LOC6535890,LOC108014421,LOC108155684,LOC117142964,LOC6620056,LOC120452532,Rab11
12250at7215,LOC6504758,LOC6725242,LOC6525507,LOC108004572,LOC108164959,LOC117148211,LOC6612320,LOC120456484,MCTS1
12273at7215,LOC6506083,LOC6739156,LOC6535196,LOC108007707,LOC108153007,LOC117140547,LOC6616604,LOC120449004,EMC4
12280at7215,LOC6493199,LOC6737183,LOC6533370,LOC108006846,LOC108151973,LOC117140264,LOC6604784,LOC120447502,eIF4E5
12301at7215,LOC6505882,LOC6730169,LOC6538829,LOC108019308,LOC108156419;RpL32,LOC117142359,LOC6612808,LOC120453598,RpL32
12312at7215,LOC6505521,LOC6730086,LOC6538018,LOC108007561,LOC108156106,LOC117145624,LOC6612728,LOC120453461,Naa40
12323at7215,LOC6507627,LOC6737778,LOC6533849,LOC108012490,LOC108152377,LOC117141266,LOC6605403,LOC120447620,ND-SGDH
12373at7215,LOC6497601,LOC6732585,LOC6529485,LOC108011637,LOC108161470,LOC117145643,LOC6614456,LOC120445500,Dmel\CG15136
12389at7215,LOC6499112,LOC6729503,LOC6538626,LOC108014565,LOC108155331,LOC117143745,LOC6607839,LOC120452642,Dmel\CG11771
12428at7215,LOC6495260,LOC6733980,LOC6529284,LOC108010116,LOC108159714,LOC117135732,LOC6608640,LOC120457783,Fpps
12460at7215,LOC6499658,LOC6728522,LOC6536637,LOC108010640,LOC108155413,LOC117145341,LOC6606826,LOC120453426,Dtd
12500at7215,LOC6496986,LOC6738944,LOC6527590,LOC108016984,LOC108162354,LOC117150754,LOC6613437,LOC120453368,eIF3h
12518at7215,LOC6501435,LOC6728910,LOC6536238,LOC108007957,LOC108155868,LOC117145584,LOC6607240,LOC120450925,SLIRP2
12595at7215,LOC6501898,LOC6725567,LOC6525948,LOC108015276,LOC108164923,LOC117147339,LOC6617487,LOC120455834,CARPB
12599at7215,LOC6506153,LOC6736965,LOC6533153,LOC108012698,LOC108151942,LOC117140988,LOC6610965,LOC120449357,BcDNA:RE60135
12618at7215,LOC6505554,LOC6730229,LOC6538893,LOC108017273,LOC108155852,LOC117143640,LOC6612870,LOC120452493,PH4alphaEFB
12628at7215,LOC6504590,LOC6726049,LOC6524858,LOC108019141,LOC108161992,LOC117148772,LOC6619952,LOC120455235,Dmel\CG8128
12673at7215,LOC6501175,LOC6728468,LOC6537390,LOC108014711,LOC108155571,LOC117145658,LOC6606770,LOC120454241,HisCl1
12677at7215,LOC6504854,LOC6724903,LOC6524475,LOC108016662,LOC108164622,LOC117148283,LOC6616061,LOC120456965,EG:39E1.2
12678at7215,LOC6498892,LOC6726724,LOC6535319,LOC108005930,LOC108156949,LOC117145159,LOC6613858,LOC120453077,eIF3f1
12704at7215,LOC6507403,LOC6730461,LOC6526309,LOC108020920,LOC108162087,LOC117150656,LOC6617256,LOC120454132,crq
1272at7215,LOC6498263,LOC6732899,LOC6529796,LOC108019348,LOC108162002,LOC117135287,LOC6614775,LOC120444991,CG10747
12734at7215,LOC6505933,LOC6730016,LOC6538089,LOC108007224,LOC108154727,LOC117145726,LOC6612660,LOC120454552,superdeath
12743at7215,LOC6507446,LOC6737808,LOC6533873,LOC108012704,LOC108165502,LOC117140681,LOC6605428,LOC120448488,Dmel\CG10418
12747at7215,LOC6503938,LOC6726152,LOC6524993,LOC108011127,LOC108156129,LOC117147118,LOC6617964,LOC120455772,SNRPG
12761at7215,LOC6493161,LOC6737262,LOC6532733,LOC108012609,LOC108151359,LOC117139457,LOC6604862,LOC120448330,Pex2
12815at7215,LOC6503037,LOC6725335,LOC6525468,LOC108016623,LOC108162767,LOC117147966,LOC6618955,LOC120456733,Dmel\CG3032
12818at7215,LOC6501238,LOC6727464,LOC6535678,LOC108010752,LOC108155317,LOC117142558,LOC6619083,LOC120454337,Dmel\CG3581
12859at7215,LOC6503438,LOC6729401,LOC6538727,LOC108020641,LOC108156861,LOC117145487,LOC6607737,LOC120453346,Dmel\CG33340
12890at7215,LOC6499715,LOC6728289,LOC6536888,LOC108011582;LOC108014121,LOC108157293,LOC117145200,LOC6606597,LOC120451805,Dmel\CG7091
12893at7215,LOC6505929,LOC6730006,LOC6538097,LOC108007216,LOC108155650,LOC117144529,LOC6612652,LOC120454562,Pdhb
12923at7215,LOC6497364,LOC6732567,LOC6529504,LOC108018524,LOC108161940,LOC117138665,LOC6614437,LOC120444512,Dmel\CG13282
12931at7215,LOC6506011,LOC6730091,LOC6538013,LOC108015520,LOC108156178,LOC117142306,LOC6612734,LOC120451229,Gnpnat
12969at7215,LOC6504906,LOC6726051,LOC6524860,LOC108019143,LOC108162006,LOC117148774,LOC6619954,LOC120455236,Pis
12987at7215,LOC6492938,LOC6736324,LOC6532353,LOC108013585,LOC108151891,LOC117139659,LOC6610306,LOC120447449,Dmel\CG2211
13026at7215,LOC6498091,LOC6730701,LOC6526556,LOC108021575,LOC108162652,LOC117137604,LOC6613088,LOC120443755,Dmel\CG3609
13030at7215,LOC6504038,LOC6730983,LOC6526847,LOC108005815,LOC108164098,LOC117150494,LOC6613364,LOC120450071,Dmel\CG3355
13126at7215,LOC6494056,LOC6734308,LOC6529966,LOC108019646,LOC108157945,LOC117136478,LOC6608987,LOC120445978,Dmel\CG10814
13176at7215,LOC6507293,LOC27208937,LOC6532557,LOC108012382,LOC108151240,LOC117141572,LOC6605039,LOC120450222,CG3434
13180at7215,LOC6501936,LOC6725472,LOC6525279,LOC108015029,LOC108162959,LOC117146564,LOC6619843,LOC120455279,Ppt1
13212at7215,LOC6506766,LOC6738858,LOC6539744,LOC108013192,LOC108151788,LOC117139209,LOC6616307,LOC120450442,Hpd
13230at7215,LOC6503403,LOC6729417,LOC6538707,LOC108006426,LOC108156060,LOC117142240,LOC6607755,LOC120450746,nAChRbeta2
1324at7215,LOC6496642,LOC6733238,LOC6528293,LOC108018061,LOC108160518,LOC117137208,LOC6607860,LOC120443946,Fmo-2
13261at7215,LOC6499363,LOC6729097,LOC6537745,LOC108020512,LOC108156977,LOC117142805,LOC6607427,LOC120452698,pinta
13281at7215,LOC6503033,LOC27207522,LOC6525754,LOC108016919,LOC108161471,LOC117147180,LOC6614829,LOC120455765,ari-1
13298at7215,LOC6505221,LOC6725950,LOC6524733,LOC108006548,LOC108164535,LOC117147686,LOC6618544,LOC120457314,nmdyn-D6
13351at7215,LOC6499050,LOC6729265,LOC6537919,LOC108007843,LOC108156513,LOC117144931,LOC6620989,LOC120453477,Gba1a
13352at7215,LOC6501290,LOC6727241,LOC6535886,LOC108019443,LOC108155781,LOC117144164,LOC6620060,LOC120450938,Dmel\CG7044
13360at7215,LOC6495344,LOC6733731,LOC6528777,LOC108008386,LOC108158814,LOC117136458,LOC6608373,LOC120448342,Dmel\CG12929
13427at7215,LOC6504511,LOC6740277,LOC6526169,LOC108015387,LOC108153725,LOC117146742,LOC6615222,LOC120455184,Dd
13484at7215,LOC6507257,LOC27206298,LOC6534147,LOC108012732,LOC108165506,LOC117141405,LOC6605715,LOC120448771,Ocho
13502at7215,LOC6496729,LOC6730769,120320868,LOC108021517,LOC108163787,LOC117138181,LOC6613149,LOC120448120,HINT1
13514at7215,LOC6498214,LOC6731167,LOC6528059,LOC108010503,LOC108162957,LOC117135160,LOC6613582,LOC120458576,Dmel\CG9150
13570at7215,LOC6497866,LOC6739202,LOC6526803,LOC108004978,LOC108161758,LOC117150316,LOC6613322,LOC120458544,RpL40
13578at7215,LOC6495314,LOC6733714,LOC6528758,LOC108009980,LOC108158730,LOC117137929,LOC6608352,LOC120444054,Pdk
13590at7215,LOC6498734,LOC6727692,LOC6535431,LOC108017339,LOC108156509,LOC117145561,Dsec\GM16948,LOC120451457,Prx3
13592at7215,LOC6499776,LOC6729214,LOC6537865,LOC108014864,LOC108157393,LOC117145677,LOC6607556,LOC120454236,PEX11C
13593at7215,LOC6503431,LOC6729387,LOC6538740,LOC108017587,LOC108154835,LOC117145037,LOC6607724,LOC120454148,crb
1364at7215,LOC6507093,LOC6736227,LOC6532252,LOC108013416,LOC108152026,LOC117139924,LOC6610200,LOC120449813,Gale
13652at7215,LOC6506178,LOC6737022,LOC6533207,LOC108013289,LOC108152009,LOC117139796,LOC6611026,LOC120447810,Bulli
13691at7215,LOC6501848,LOC6725509,LOC6525228,LOC108016640,LOC108164545,LOC117146958,LOC6619776,LOC120456449,Dlip1
13738at7215,LOC6505863,LOC6727522,LOC6535617,LOC108020110,LOC108157176,LOC117143509,LOC6613712,LOC120453498,Rh2-RA
13739at7215,LOC6507558,LOC6736458,LOC6532499,LOC108012398,LOC108153582,LOC117141472,LOC6610452,LOC120450117,HL03644
13805at7215,LOC6506197,LOC6737065,LOC6533249,LOC108013284,LOC108152292,LOC117140748,LOC6611079,LOC120448024,Dmel\CG9953
13837at7215,LOC6504967,LOC6725034,LOC6524302,LOC108019198,LOC108163458,LOC117147034,LOC6612573,LOC120455292,Rala
13850at7215,LOC6504972,LOC6740710,LOC6524307,LOC108019221,LOC108164636,LOC117148761,LOC6612578,LOC120455329,Dmel\CG2875
13856at7215,LOC6501147,LOC6728518,LOC6536641,108006029,LOC108155498,LOC117145337,LOC6606822,LOC120452595,Dmel\CG5281
13879at7215,LOC6506573,LOC6738395,LOC6534396,LOC108020003;LOC108020004,LOC108151597,LOC117140994,LOC6606022,LOC120448612,sinah
13912at7215,LOC6501491,LOC6739777,LOC6538287,LOC108020155,LOC108154422,LOC117143034,LOC6617159,LOC120454292,Dmel\CG5984
13920at7215,LOC6503010,LOC6725272,LOC6524015,LOC108021780,LOC108164525,LOC117147616,LOC6612288,LOC120456292,Top3beta
13942at7215,LOC6498037,LOC6731496,LOC6527710,LOC108008870,LOC108162196,LOC117150823,LOC6611672,LOC120443784,15010468
13971at7215,LOC6494653,LOC6728007,LOC6537222,LOC108004880,LOC108155150,LOC117142802,LOC6606302,LOC120454415,tefu
13975at7215,LOC6506778,LOC6738841,LOC6534800,LOC108005819,LOC108152750,LOC117140103,LOC6616289,LOC120448123,Ide
14012at7215,LOC6500752,LOC6729322,LOC6538798,LOC108007463,LOC108156116,LOC117146118,LOC6607662,LOC120450769,Dmel\CG13604
1401at7215,LOC6506618,LOC6736888,LOC6533073,LOC108005793,LOC108150916,LOC117139509,LOC6610887,LOC120449641,bc10
14055at7215,LOC6499466,LOC6728949,LOC6536196,LOC108006094,LOC108155804,LOC117145069,LOC6607285,LOC120453927,tex
14081at7215,LOC6498425,LOC6732260,LOC6527554,LOC108021025,LOC108163696,LOC117143603,LOC6611203,LOC120458032,tam
14085at7215,LOC6493712,LOC6738744,LOC6534889,LOC108005799,LOC108153114,LOC117141448,LOC6619406,LOC120450551,Fibp
14099at7215,LOC6500853,LOC6729063,LOC6537708,LOC108015694,LOC108154761,LOC117145054,LOC6607390,LOC120452726,Dmel\CG7084
14112at7215,LOC6496876,LOC6731915,LOC6527216,LOC108020894,LOC108162891,LOC117136612,LOC6612092,LOC120458236,ATPsynG
14137at7215,LOC6506690,LOC27207912,LOC6526826,LOC108021347,LOC108162414,LOC117142721,LOC6613345,LOC120458779,MFS18
14139at7215,LOC6499003,LOC6730171,LOC6538831,LOC108019311,LOC108156418,LOC117142775,LOC6612810,LOC120453595,Dmel\CG15528
14155at7215,LOC6504365,LOC6732244,LOC6527542,LOC108021208,LOC108162174,LOC117139891,LOC6611188,LOC120446513,Dmel\CG9008
14165at7215,LOC6493508,LOC6737134,LOC6533314,LOC108005757,LOC108153737,LOC117141468,LOC6611141,LOC120449554,Dmel\CG8563
14261at7215,LOC6496586,LOC6739471,LOC6531020,LOC108018139,LOC108160083,LOC117136444,LOC6609861,LOC120445904,Dmel\CG15097
14268at7215,LOC6498511,LOC6731218,LOC6527086,LOC108021459,LOC108163319,LOC117150858,LOC6613632,LOC120455773,Sec61alpha
14284at7215,LOC6497972,LOC6730525,LOC6526378,LOC108021206,LOC108162995,LOC117149103,LOC6617332,LOC120447996,Atg4a
14289at7215,LOC6498136,LOC6732508,LOC6528921,LOC108008452,LOC108161893,LOC117150507,LOC6613690,LOC120443717,mRpL4
14295at7215,LOC6504030,LOC6740416,LOC6526194,LOC108011227,LOC108159841,LOC117147241,LOC6615251,LOC120455592,GCS2alpha
14296at7215,LOC6498646,LOC6731924,LOC6527224,LOC108021073,LOC108162988,LOC117150753,LOC6612101,LOC120450028,Nup154
14306at7215,LOC6505584,LOC6730297,LOC6538961,LOC108012160,LOC108157115,LOC117142320,LOC6612939,LOC120453824,Alp4
14335at7215,LOC6507659,LOC6736348,LOC6532379,LOC108012814,LOC108153006,LOC117140138,LOC6610333,LOC120449737,LD02105
14383at7215,LOC6494799,LOC6735502,LOC6530678,LOC108010268,LOC108159871,LOC117135680,LOC6615322,LOC120445024,Xpd
14414at7215,LOC6505073,LOC6726354,LOC6525796,LOC108010439,LOC108165113,LOC117147196,LOC6614870,LOC120455972,BcDNA:RE30049
14424at7215,LOC6503300,LOC27206527,LOC6526585,LOC108006705,LOC108162284,LOC117139439,LOC6613115,LOC120454697,Sws1
14437at7215,LOC6506150,LOC6737379,LOC6532619,LOC108013283,LOC108151556,LOC117139850,LOC6604980,LOC120449451,Dmel\CG4911
14446at7215,LOC6493051,LOC6738971,Dyak\GE22963,LOC108013301,LOC108153443,LOC117141379,LOC6616416,LOC120448558,Dmel\CG9391
14495at7215,LOC6495580,LOC6735465,LOC6530721,LOC108009940,LOC108158357,LOC117137231,LOC6615278,LOC120446084,Dmel\CG15651
1449at7215,LOC6492912,Dsim\Amyrel,LOC6531377,LOC108009443,LOC108160659,Amyrel,LOC6609476,LOCAmyrel,Amyrel
14532at7215,LOC6506071,LOC27207283,LOC6527357,LOC108021173,LOC108161812,LOC117138195,LOC6617716,LOC120450854,Rab6
